time,open,high,low,close,tick_volume,spread,real_volume,datetime
1738098000,1.0431300000000001,1.04335,1.04303,1.04328,222,9,0,2025-01-28 21:00:00
1738098900,1.04328,1.04337,1.043,1.04302,186,9,0,2025-01-28 21:15:00
1738099800,1.04302,1.0431,1.0429599999999999,1.04302,142,9,0,2025-01-28 21:30:00
1738100700,1.04301,1.04306,1.04284,1.0429,175,9,0,2025-01-28 21:45:00
1738101600,1.04288,1.04299,1.04246,1.04277,260,15,0,2025-01-28 22:00:00
1738102500,1.0428,1.04289,1.0425200000000001,1.04273,274,36,0,2025-01-28 22:15:00
1738103400,1.04275,1.04286,1.04267,1.0428,181,39,0,2025-01-28 22:30:00
1738104300,1.0428,1.04292,1.04266,1.04287,176,11,0,2025-01-28 22:45:00
1738105200,1.04287,1.04295,1.04262,1.04269,160,9,0,2025-01-28 23:00:00
1738106100,1.04271,1.0429599999999999,1.0427,1.0429599999999999,92,9,0,2025-01-28 23:15:00
1738107000,1.0429599999999999,1.04299,1.04273,1.04277,161,9,0,2025-01-28 23:30:00
1738107900,1.04278,1.04295,1.04266,1.04268,164,9,0,2025-01-28 23:45:00
1738108800,1.04269,1.04337,1.04266,1.04332,305,9,0,2025-01-29 00:00:00
1738109700,1.04332,1.04339,1.04305,1.04316,233,9,0,2025-01-29 00:15:00
1738110600,1.04314,1.04325,1.04284,1.04318,514,9,0,2025-01-29 00:30:00
1738111500,1.04318,1.04329,1.04284,1.043,380,9,0,2025-01-29 00:45:00
1738112400,1.043,1.04317,1.04291,1.04311,353,9,0,2025-01-29 01:00:00
1738113300,1.04312,1.04337,1.04294,1.04321,298,9,0,2025-01-29 01:15:00
1738114200,1.04321,1.04333,1.04291,1.04304,257,9,0,2025-01-29 01:30:00
1738115100,1.04302,1.04311,1.04269,1.0427,343,9,0,2025-01-29 01:45:00
1738116000,1.04268,1.0432,1.04255,1.04312,333,9,0,2025-01-29 02:00:00
1738116900,1.04312,1.04317,1.04285,1.0429599999999999,267,9,0,2025-01-29 02:15:00
1738117800,1.0429599999999999,1.04338,1.04287,1.0431300000000001,238,9,0,2025-01-29 02:30:00
